id_seller,id_marketplace,Date
0B0C4C97A0B64E6E9BC664695C1C4F0D,000AF0C2B1C340ED80D2CC10B48C3088,2020-01-14
21626B11ABF24706964FCF58548C3E21,000AF0C2B1C340ED80D2CC10B48C3088,2020-01-15
52E0BA215DC3493AB355D529B20F9F4E,000AF0C2B1C340ED80D2CC10B48C3088,2020-01-16
52F7ABEA5A404437AC478FD7D4E0419F,000AF0C2B1C340ED80D2CC10B48C3088,2020-01-17
A283DCA89F8E48C89B112D44749BF2E6,001BA80A691E4465B42F4550D693D3DA,2020-01-18
298A61315BBE469F9CF517A418B5F16B,001BA80A691E4465B42F4550D693D3DA,2020-01-19
08A2084EFB6B4C5E8A485BD9662C82C5,001BA80A691E4465B42F4550D693D3DA,2020-01-20
8EA595D2D79E43BFA0CB7E4828AF7EAD,001BA80A691E4465B42F4550D693D3DA,2020-01-21
71D442ACF49F42FEA943FC20BA233F2F,001BA80A691E4465B42F4550D693D3DA,2020-01-22
EFD34F4ED32D45F49E0921FFF32F8805,001BA80A691E4465B42F4550D693D3DA,2020-01-23
EE15096D23A446329611A903E08824A6,001BA80A691E4465B42F4550D693D3DA,2020-01-24
1DDC433043284028B20553161D4E78D0,001BA80A691E4465B42F4550D693D3DA,2020-01-25
8470D09E6FA643549007FC70B015D551,001BA80A691E4465B42F4550D693D3DA,2020-01-26
9DAFAA98EE364683B4EECF2EA2756F05,001BA80A691E4465B42F4550D693D3DA,2020-01-27
05094546ACF04799A28B551502A4B00F,00240243CEF04A928814E09F87D926D7,2020-01-28
05B691B12AC44840B83693263E8618AA,00240243CEF04A928814E09F87D926D7,2020-01-29
0ACB807A934D4BE786D5943FE712C977,00240243CEF04A928814E09F87D926D7,2020-01-30
0DF6F49924F64F0E953550AE18EBA8EF,00240243CEF04A928814E09F87D926D7,2020-01-31
0E1A9264133F4927BA0DF49C5092E2D4,00240243CEF04A928814E09F87D926D7,2020-02-01
0EB12C4FD94E4363A629882F375D8CA8,00240243CEF04A928814E09F87D926D7,2020-02-02
0F7DEB039A82471CAEBF338E8A36D96D,00240243CEF04A928814E09F87D926D7,2020-02-03
0FD3C73B1CA2464BB60902DAB1B0CD80,00240243CEF04A928814E09F87D926D7,2020-02-04
137C4C4A128B4A97A0D5382755AC0878,00240243CEF04A928814E09F87D926D7,2020-02-05
156E0572B2ED436B94BB6ADA8DA01FD2,00240243CEF04A928814E09F87D926D7,2020-02-06
15E7D54136804F5BABA2DFFFBE2978A3,00240243CEF04A928814E09F87D926D7,2020-02-07
1843E1114E114B5BBA3B7005D6654BDA,00240243CEF04A928814E09F87D926D7,2020-02-08
1A89184ED6954F2295729A43C820188C,00240243CEF04A928814E09F87D926D7,2020-02-09
1B9EFCA50E1448FD8F08A920A7DA7A83,00240243CEF04A928814E09F87D926D7,2020-02-10
1C884B7189094BCEAC4298EAFEBD3317,00240243CEF04A928814E09F87D926D7,2020-02-11
1CED1A3D45FC418F803BDA3B65661869,00240243CEF04A928814E09F87D926D7,2020-02-12
1DE932BB6E1E4E7FA397301DD128F3B5,00240243CEF04A928814E09F87D926D7,2020-02-13
1E1D719FC2914E0FA1832573327E173E,00240243CEF04A928814E09F87D926D7,2020-02-14
1E1E4B08728E4C53959FBE621C8236B5,00240243CEF04A928814E09F87D926D7,2020-02-15
1E2D981D2C624055A5C07E5E93E816C7,00240243CEF04A928814E09F87D926D7,2020-02-16
219DEC276F3E4BC79799DB5AE76D7B5B,00240243CEF04A928814E09F87D926D7,2020-02-17
226A38FFF5BD4C909CF2EC30E732E6FB,00240243CEF04A928814E09F87D926D7,2020-02-18
23248E6BB3D046C29AEBC26B1C3EBE07,00240243CEF04A928814E09F87D926D7,2020-02-19
25090ACC4F1C45218E66C3FAA807A91E,00240243CEF04A928814E09F87D926D7,2020-02-20
26A78F4E6F24445ABBB5F125B7853526,00240243CEF04A928814E09F87D926D7,2020-02-21
2754C97A88FE4C8398C85DB92C176F6E,00240243CEF04A928814E09F87D926D7,2020-02-22
29328C01F57249C7B284525A838E1DE6,00240243CEF04A928814E09F87D926D7,2020-02-23
29B8B3B795F14DD588585B58B737CF73,00240243CEF04A928814E09F87D926D7,2020-02-24
2D3A1015ADC5417ABE324D091B503D73,00240243CEF04A928814E09F87D926D7,2020-02-25
2D59C645EC21422981522FCA514CE595,00240243CEF04A928814E09F87D926D7,2020-02-26
2F7484B936C84ACC895C9C8C8CFAF1E7,00240243CEF04A928814E09F87D926D7,2020-02-27
2F93067931BD40EEAE664A37CA6155A3,00240243CEF04A928814E09F87D926D7,2020-02-28
2FB2F95959474AC5ABB60A7369F77D6C,00240243CEF04A928814E09F87D926D7,2020-02-29
3052ABE977BB4EC2BE34D8C881266CF5,00240243CEF04A928814E09F87D926D7,2020-03-01
309293ACDBDB4C728784EC88A6B02F9B,00240243CEF04A928814E09F87D926D7,2020-03-02
313F6B8519524756B6BA3018B3CE789A,00240243CEF04A928814E09F87D926D7,2020-03-03
350CAF5E50684DC1AEC104713E5E6ADE,00240243CEF04A928814E09F87D926D7,2020-03-04
375589DBB6234D5FB932E88073BF771A,00240243CEF04A928814E09F87D926D7,2020-03-05
383469BCBDCE4F92BBB5FA2C0C24B873,00240243CEF04A928814E09F87D926D7,2020-03-06
38FD8503C1C44E628FFB30E595ED7900,00240243CEF04A928814E09F87D926D7,2020-03-07
3AED552A928B43A9912290C5884BA773,00240243CEF04A928814E09F87D926D7,2020-03-08
3B53A19F4EE54CB682385996619D1A3A,00240243CEF04A928814E09F87D926D7,2020-03-09
3E6AB459AD4340699EFA831D4193E70B,00240243CEF04A928814E09F87D926D7,2020-03-10
3E6E545B62664D5BA9F0E3C107612CD0,00240243CEF04A928814E09F87D926D7,2020-03-11
3FF3BE201F104A0DA15648BDBF632CAC,00240243CEF04A928814E09F87D926D7,2020-03-12
4386E0EC0870482F9EB2540CA6079DED,00240243CEF04A928814E09F87D926D7,2020-03-13
4774353EF0884B6299E55A06C48B3737,00240243CEF04A928814E09F87D926D7,2020-03-14
49BA59DDA25C486CB0DA49696F6059BD,00240243CEF04A928814E09F87D926D7,2020-03-15
4F1B0F2EFA1248EBB30235408A50C2F9,00240243CEF04A928814E09F87D926D7,2020-03-16
4FAF914BA02F4C59AEF6398689B07DE1,00240243CEF04A928814E09F87D926D7,2020-03-17
50D01A68CCAE4F29AFF51D54502234F0,00240243CEF04A928814E09F87D926D7,2020-03-18
52EFA1E40CDF4B46B041989D1BFBB6C9,00240243CEF04A928814E09F87D926D7,2020-03-19
53546070E62E4C02A632DB60EBC50C7B,00240243CEF04A928814E09F87D926D7,2020-03-20
540E1B146F0A4036B2ACFA62F33835C9,00240243CEF04A928814E09F87D926D7,2020-03-21
541EA6FE71F74394879FE926E5136516,00240243CEF04A928814E09F87D926D7,2020-03-22
542A0522FFB444B0AA7A96E1A8F3A833,00240243CEF04A928814E09F87D926D7,2020-03-23
55A4C7E3A5504D48A1D7E2AB0870C173,00240243CEF04A928814E09F87D926D7,2020-03-24
56C552E8EA2C420B84778FA387AD188F,00240243CEF04A928814E09F87D926D7,2020-03-25
5A2103E440EF4A5B973F4997DD2B53E9,00240243CEF04A928814E09F87D926D7,2020-03-26
5B510A672EC248CCBC2231566C0AEC9E,00240243CEF04A928814E09F87D926D7,2020-03-27
5BB08FB997D74D7BB463F9E74CF327F3,00240243CEF04A928814E09F87D926D7,2020-03-28
5D6A982AECB648FDB1CBC0F9BD51DB97,00240243CEF04A928814E09F87D926D7,2020-03-29
5F2C625426E94C89915294130CBC787F,00240243CEF04A928814E09F87D926D7,2020-03-30
5F4088D93BEB4423A1B344FE036BF856,00240243CEF04A928814E09F87D926D7,2020-03-31
604B562483044C52B32F5BCD5D136A77,00240243CEF04A928814E09F87D926D7,2020-04-01
607238E41D10471DB02EF3E31686FCA3,00240243CEF04A928814E09F87D926D7,2020-04-02
